name,class_,sample,platform,amplification,replicate,fastq_filename,cov20_pc,median_depth,pangolin_lineage,pangolin_version
mmm-artic-ill__N188412__1,mmm-artic-ill,N188412,ill,artic,1,mmm-artic-ill__N188412__1*.fastq.gz,90.77356970185335,399,,3.1.5
mmm-artic-ill__N188412__2,mmm-artic-ill,N188412,ill,artic,2,mmm-artic-ill__N188412__2*.fastq.gz,95.68560300832661,549,,3.1.5
mmm-artic-ont__N188412__1,mmm-artic-ont,N188412,ont,artic,1,mmm-artic-ont__N188412__1*.fastq.gz,99.42586623690572,98,,3.1.5
mmm-artic-ont__N188412__2,mmm-artic-ont,N188412,ont,artic,2,mmm-artic-ont__N188412__2*.fastq.gz,90.7232070910556,82,,3.1.5
mmm-artic-ont__N188412__3,mmm-artic-ont,N188412,ont,artic,3,mmm-artic-ont__N188412__3*.fastq.gz,63.42667203867849,27,,3.1.5
mmm-artic-ont__N188412__4,mmm-artic-ont,N188412,ont,artic,4,mmm-artic-ont__N188412__4*.fastq.gz,62.29854955680902,27,,3.1.5
mmm-sispa-ill__N188412__1,mmm-sispa-ill,N188412,ill,sispa,1,mmm-sispa-ill__N188412__1*.fastq.gz,0.0,0,,3.1.5
mmm-sispa-ill__N188412__2,mmm-sispa-ill,N188412,ill,sispa,2,mmm-sispa-ill__N188412__2*.fastq.gz,0.0,0,,3.1.5
mmm-sispa-ont__N188412__1,mmm-sispa-ont,N188412,ont,sispa,1,mmm-sispa-ont__N188412__1*.fastq.gz,0.0,0,,3.1.5
mmm-sispa-ont__N188412__2,mmm-sispa-ont,N188412,ont,sispa,2,mmm-sispa-ont__N188412__2*.fastq.gz,0.0,0,,3.1.5
mmm-artic-ill__N189040__1,mmm-artic-ill,N189040,ill,artic,1,mmm-artic-ill__N189040__1*.fastq.gz,57.75919957023905,37,,3.1.5
mmm-artic-ill__N189040__2,mmm-artic-ill,N189040,ill,artic,2,mmm-artic-ill__N189040__2*.fastq.gz,38.544184797206555,8,,3.1.5
mmm-artic-ont__N189040__1,mmm-artic-ont,N189040,ont,artic,1,mmm-artic-ont__N189040__1*.fastq.gz,81.32890142358313,34,,3.1.5
mmm-artic-ont__N189040__2,mmm-artic-ont,N189040,ont,artic,2,mmm-artic-ont__N189040__2*.fastq.gz,60.51235562718238,24,,3.1.5
mmm-artic-ont__N189040__3,mmm-artic-ont,N189040,ont,artic,3,mmm-artic-ont__N189040__3*.fastq.gz,23.025785656728445,11,,3.1.5
mmm-artic-ont__N189040__4,mmm-artic-ont,N189040,ont,artic,4,mmm-artic-ont__N189040__4*.fastq.gz,13.910153102336825,10,,3.1.5
mmm-sispa-ill__N189040__1,mmm-sispa-ill,N189040,ill,sispa,1,mmm-sispa-ill__N189040__1*.fastq.gz,0.0,0,,3.1.5
mmm-sispa-ill__N189040__2,mmm-sispa-ill,N189040,ill,sispa,2,mmm-sispa-ill__N189040__2*.fastq.gz,0.0,0,,3.1.5
mmm-sispa-ont__N189040__1,mmm-sispa-ont,N189040,ont,sispa,1,mmm-sispa-ont__N189040__1*.fastq.gz,0.0,0,,3.1.5
mmm-sispa-ont__N189040__2,mmm-sispa-ont,N189040,ont,sispa,2,mmm-sispa-ont__N189040__2*.fastq.gz,0.0,0,,3.1.5
mmm-artic-ill__N190750__1,mmm-artic-ill,N190750,ill,artic,1,mmm-artic-ill__N190750__1*.fastq.gz,100.0,6238,B.1.1.277,3.1.5
mmm-artic-ill__N190750__2,mmm-artic-ill,N190750,ill,artic,2,mmm-artic-ill__N190750__2*.fastq.gz,100.0,4140,B.1.1.277,3.1.5
mmm-artic-ont__N190750__1,mmm-artic-ont,N190750,ont,artic,1,mmm-artic-ont__N190750__1*.fastq.gz,99.9597099113618,277,B.1.1.277,3.1.5
mmm-artic-ont__N190750__2,mmm-artic-ont,N190750,ont,artic,2,mmm-artic-ont__N190750__2*.fastq.gz,99.56016653236637,665,B.1.1.277,3.1.5
